PoleNum,Latitude,Longitude,Ownership%,Owner1,Owner2,Owner3,Attachment#,"Renter Company","Start Date","Attachment Asset Type","Attachment Type","Attachment Method","Colashed to",Comment1,Comment2,"Pole Status","Attachment Status","Pole Mobile3","Valid Attachment","Data as of"
1374734,47.668133648342,-122.3896897389,50,SCL,CLINK,,3427683,"VERIZON BUSINESS",2021/04/27,JUATTACH,CABLE,DIRECT,,"App# 19-274",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1374726,47.667834543067,-122.3878033986,50,SCL,CLINK,,3427679,"VERIZON BUSINESS",2021/04/27,JUATTACH,CABLE,DIRECT,,"App# 19-274",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1374620,47.668146198848,-122.3854579588,50,SCL,CLINK,,3427678,"VERIZON BUSINESS",2021/04/27,JUATTACH,CABLE,DIRECT,,"App# 19-274",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1374730,47.667937302324,-122.3883101605,50,SCL,CLINK,,3427680,"VERIZON BUSINESS",2021/04/27,JUATTACH,CABLE,DIRECT,,"App# 19-274",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1374735,47.668264423588,-122.3897446117,100,SCL,,,3427684,"VERIZON BUSINESS",2021/04/27,JUATTACH,CABLE,DIRECT,,"App# 19-274",,ACTIVE,ACTIVE,SCL,"VALID ATTACHMENT",epmstagp.20220805_171151
1374832,47.667005326913,-122.3848397956,50,SCL,CLINK,,3427686,"VERIZON BUSINESS",2021/04/27,JUATTACH,CABLE,DIRECT,,"App# 19-274",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1374834,47.666807518355,-122.3848412408,50,SCL,CLINK,,3427687,"VERIZON BUSINESS",2021/04/27,JUATTACH,CABLE,DIRECT,,"App# 19-274",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1374835,47.667874916899,-122.3853275946,100,SCL,,,3427688,"VERIZON BUSINESS",2021/04/27,JUATTACH,CABLE,DIRECT,,"App# 19-274",,ACTIVE,ACTIVE,SCL,"VALID ATTACHMENT",epmstagp.20220805_171151
1374836,47.668064076057,-122.3856114817,100,SCL,,,3427689,"VERIZON BUSINESS",2021/04/27,JUATTACH,CABLE,DIRECT,,"App# 19-274",,ACTIVE,ACTIVE,SCL,"VALID ATTACHMENT",epmstagp.20220805_171151
1374731,47.668010515185,-122.3887715665,50,SCL,CLINK,,3427681,"VERIZON BUSINESS",2021/04/27,JUATTACH,CABLE,DIRECT,,"App# 19-274",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1374831,47.667085126163,-122.3848401373,50,SCL,CLINK,,3427685,"VERIZON BUSINESS",2021/04/27,JUATTACH,CABLE,DIRECT,,"App# 19-274",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1374733,47.668104171018,-122.3891844138,50,SCL,CLINK,,3427682,"VERIZON BUSINESS",2021/04/27,JUATTACH,CABLE,DIRECT,,"App# 19-274",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
